ticket_id,venue_name,venue_type,state,issue_category,priority,created_date,resolved_date,response_time_hrs,resolution_time_hrs,csat_score,assigned_agent
TICK1016,Ashley-Harris,Cafe,QLD,Technical Issue,Low,2025-01-18,2025-01-19,3.9,38.2,5.0,Sarah.L
TICK1017,"Alexander, Ward and Owen",Pub,TAS,Payments,High,2025-01-26,2025-01-27,1.4,36.7,1.0,John.S
TICK1018,Smith-Smith,Cafe,VIC,POS Connection,Medium,2024-07-18,2024-07-24,11.1,42.2,4.0,Emily.T
TICK1019,Morales Group,Pub,NSW,Menu Upload,Low,2024-05-24,2024-05-27,3.9,17.7,1.0,Emily.T
TICK1020,"Steele, Lee and Valdez",Bar,NSW,Integrations,Medium,2024-03-23,2024-03-30,8.7,68.7,1.0,John.S
TICK1021,Jones-Hopkins,Restaurant,WA,Technical Issue,Low,2024-10-30,2024-11-06,7.9,51.3,4.0,Sarah.L
TICK1022,"Davis, Coleman and Chavez",Restaurant,ACT,POS Connection,Low,2024-07-16,2024-07-21,10.8,37.1,5.0,Tom.R
TICK1023,Leonard-Johnson,Pub,QLD,Payments,Medium,2024-06-26,2024-06-28,1.3,67.5,1.0,Sarah.L
TICK1024,Walsh LLC,Bar,ACT,Payments,High,2024-07-05,2024-07-08,2.2,28.9,4.0,Tom.R
TICK1025,Garcia-Hernandez,Pub,WA,Menu Upload,Low,2024-07-28,2024-08-01,2.4,48.6,3.0,John.S
TICK1026,"Jimenez, Hendricks and Smith",Pub,QLD,POS Connection,Medium,2024-05-23,2024-05-26,11.0,41.8,3.0,Emily.T
TICK1027,Little Inc,Pub,NT,Integrations,Medium,2024-10-16,2024-10-18,2.3,19.7,,Sarah.L
tick1028,"Marshall, Mcdaniel and Leon",Pub,ACT,Technical Issue,Low,2024-12-12,2024-12-19,8.3,66.4,4.0,John.S
TICK1029,"Sherman, Jones and Woods",Pub,TAS,Menu Upload,Medium,2024-10-19,2024-10-25,8.4,59.4,3.0,John.S
TICK1030,Roberts Ltd,Bar,ACT,Menu Upload,Low,2024-05-11,2024-05-17,3.5,67.4,3.0,Mike.D
TICK1031,Mahoney-Lynch,Pub,TAS,Integrations,Medium,2024-03-10,2024-03-11,4.8,39.1,2.0,Tom.R
TICK1032,Edwards Inc  ,Pub,QLD,POS Connection,Medium,2025-01-10,2025-01-15,10.6,18.0,3.0,John.S
TICK1033,"Bishop, Harper and Hunt",Bar,VIC,Technical Issue,Medium,2024-07-15,2024-07-22,1.1,65.5,2.0,John.S
TICK1034,Allen-Diaz,Bar,NSW,Technical Issue,High,2025-02-16,2025-02-20,11.8,10.2,3.0,Emily.T
TICK1035,"Chan, Mcmillan and Cooper",Bar,NT,Technical Issue,High,2024-05-20,2024-05-21,11.0,40.6,2.0,Sarah.L
TICK1036,Hale Group,Restaurant,WA,Integrations,High,2024-11-13,2024-11-19,6.8,69.8,2.0,Emily.T
TICK1037,Robinson Ltd,Restaurant,NSW,Technical Issue,Medium,2025-01-18,2025-01-25,9.6,43.5,3.0,Tom.R
TICK1038,Espinoza and Sons  ,Restaurant,NSW,POS Connection,Medium,2024-08-31,2024-09-07,3.4,62.7,4.0,Sarah.L
TICK1039,"Peterson, Parrish and Adams",Cafe,VIC,Integrations,High,2024-12-12,2024-12-16,4.2,67.0,5.0,John.S
TICK1040,Cruz Group,Restaurant,VIC,POS Connection,Medium,2025-01-10,2025-01-14,5.6,44.0,5.0,Mike.D
TICK1041,Owens-Rios,Cafe,QLD,POS Connection,High,2024-05-21,2024-05-26,5.9,28.2,5.0,Emily.T
TICK1042,"Gray, Long and Sanchez",Restaurant,NSW,POS Connection,High,2024-05-15,2024-05-19,5.9,22.6,,John.S
TICK1043,"Roy, Williams and Torres",Bar,WA,Payments,Medium,2024-04-12,2024-04-17,3.1,46.5,,Tom.R
TICK1044,Castro PLC,Cafe,QLD,Menu Upload,High,2024-10-18,2024-10-22,10.9,71.9,5.0,Sarah.L
TICK1045,"Perkins, Nelson and Mccullough",Restaurant,ACT,Integrations,Medium,2024-03-12,2024-03-19,6.0,30.4,,John.S
TICK1046,James-Williams,Bar,NT,Payments,Medium,2024-05-10,2024-05-16,10.9,40.2,5.0,Sarah.L
TICK1047,Schwartz-Sullivan,Pub,QLD,Menu Upload,High,2024-03-12,2024-03-16,2.8,21.9,5.0,Mike.D
TICK1048,"Mendez, Wright and Pierce",Restaurant,WA,Menu Upload,High,2024-11-07,2024-11-14,5.0,36.8,4.0,Tom.R
TICK1049,"Palmer, Allen and Collins",Pub,WA,Menu Upload,Medium,2024-09-14,2024-09-16,11.9,67.2,1.0,Mike.D
tick1050,Baker-Craig,Pub,SA,Technical Issue,Low,2024-12-30,2025-01-05,4.0,38.5,5.0,Tom.R
TICK1051,Davidson PLC,Pub,QLD,Technical Issue,High,2024-08-16,2024-08-17,1.8,53.0,3.0,John.S
TICK1052,Rogers-Sawyer  ,Restaurant,WA,Menu Upload,Medium,2024-05-16,2024-05-18,10.7,63.6,1.0,Sarah.L
TICK1053,Brown-Hendricks,Cafe,NSW,Integrations,Low,2024-11-29,2024-11-30,1.3,36.7,,Mike.D
TICK1054,Mason PLC,Restaurant,QLD,Technical Issue,Medium,2024-07-07,2024-07-13,10.0,12.8,4.0,Emily.T
TICK1055,Reilly PLC,Bar,QLD,Integrations,Low,2024-11-12,2024-11-17,3.7,46.7,2.0,Mike.D
TICK1056,"Padilla, Bryant and Rosales",Restaurant,VIC,POS Connection,High,2024-11-11,2024-11-12,11.0,33.8,4.0,Tom.R
TICK1057,"Fox, Forbes and Lopez",Cafe,NSW,Integrations,Medium,2024-08-01,2024-08-08,2.4,64.9,3.0,Emily.T
TICK1058,"Henderson, Moore and Freeman",Cafe,TAS,POS Connection,Low,2024-12-22,2024-12-28,4.7,50.8,2.0,Tom.R
TICK1059,"Romero, Jones and Nash",Pub,WA,Technical Issue,Medium,2024-09-26,2024-10-01,5.3,45.2,1.0,John.S
TICK1060,"Jacobs, Calderon and Moore",Cafe,NSW,Integrations,High,2024-06-17,2024-06-24,7.7,26.9,1.0,Emily.T
TICK1061,Lopez-Gould,Restaurant,NSW,Technical Issue,Low,2024-09-24,2024-09-28,10.0,30.7,4.0,John.S
TICK1062,"Kim, Garrison and Martin",Pub,WA,POS Connection,High,2024-04-12,2024-04-13,9.5,48.6,4.0,Mike.D
TICK1063,"Jones, Jackson and Hess",Bar,QLD,Payments,High,2025-02-26,2025-03-04,10.6,48.7,5.0,Emily.T
TICK1064,Daniel-Mack,Restaurant,QLD,Integrations,Medium,2025-03-02,2025-03-08,6.9,21.8,4.0,John.S
TICK1065,Arnold-Ramirez,Pub,NT,Payments,Medium,2024-10-10,2024-10-13,7.2,69.2,3.0,Mike.D
TICK1066,"Adams, Henry and Craig",Cafe,NSW,Menu Upload,High,2024-10-15,2024-10-19,9.1,52.1,,Emily.T
TICK1067,Campbell-Tran,Cafe,WA,Payments,Medium,2024-05-31,2024-06-05,5.8,60.9,,Sarah.L
TICK1068,Moss-Weaver,Cafe,TAS,Menu Upload,High,2024-12-21,2024-12-23,1.2,47.6,,Mike.D
TICK1069,"Foster, Johnson and Rodriguez",Pub,TAS,Payments,High,2024-06-28,2024-07-03,9.2,41.8,5.0,Mike.D
TICK1070,Davis PLC,Pub,TAS,Menu Upload,High,2024-04-20,2024-04-24,9.1,70.7,4.0,John.S
TICK1071,Wheeler Inc,Cafe,NSW,Menu Upload,Medium,2024-08-19,2024-08-22,9.2,25.6,4.0,Sarah.L
TICK1072,Ochoa-Williams,Cafe,QLD,Integrations,Medium,2024-04-01,2024-04-02,10.2,70.2,,Sarah.L
TICK1073,Hanson-Lawrence,Cafe,NT,Integrations,Medium,2024-08-17,2024-08-23,10.1,21.3,2.0,Mike.D
TICK1074,Hill-Church,Cafe,QLD,Menu Upload,High,2025-01-24,2025-01-29,6.4,42.0,5.0,Sarah.L
TICK1075,Gonzalez Group,Pub,NT,Technical Issue,High,2024-09-05,2024-09-07,9.1,45.4,3.0,Sarah.L
TICK1076,Hoffman and Sons,Restaurant,WA,POS Connection,High,2024-06-13,2024-06-17,10.0,27.7,,Tom.R
TICK1077,"Nguyen, Cook and Jones",Restaurant,TAS,Payments,Medium,2024-04-15,2024-04-20,1.6,19.6,,John.S
TICK1078,"Wright, Ayers and Foster",Restaurant,VIC,Integrations,Medium,2024-03-06,2024-03-08,9.1,19.6,3.0,Emily.T
TICK1079,Harrison-Lewis,Pub,NT,Menu Upload,Medium,2024-08-14,2024-08-17,11.5,40.9,4.0,Tom.R
TICK1080,Murphy-Hess,Pub,ACT,Integrations,Medium,2024-04-30,2024-05-02,8.7,60.8,,John.S
TICK1081,Cervantes-Weber,Bar,NT,POS Connection,Medium,2024-04-14,2024-04-21,8.8,24.7,2.0,Tom.R
TICK1082,"Brown, Jackson and Roy",Restaurant,ACT,Payments,Medium,2024-09-29,2024-10-05,2.0,21.7,,Tom.R
TICK1083,Gilmore-Miller,Cafe,SA,Integrations,High,2024-03-13,2024-03-19,9.5,23.9,4.0,John.S
TICK1084,Ellis-Parks,Restaurant,WA,Payments,Low,2024-12-22,2024-12-29,2.1,19.0,,Emily.T
TICK1085,Austin-Thompson,Restaurant,WA,POS Connection,Low,2024-12-07,2024-12-08,2.4,16.5,1.0,Emily.T
TICK1086,Smith and Sons,Bar,NSW,Menu Upload,Medium,2024-11-23,2024-11-30,1.2,69.4,5.0,Emily.T
TICK1087,Holmes LLC,Restaurant,SA,Technical Issue,High,2024-07-30,2024-07-31,3.6,13.7,5.0,Tom.R
TICK1088,"Tyler, Ramos and Harris  ",Restaurant,TAS,POS Connection,High,2024-08-29,2024-08-31,2.9,46.1,4.0,Mike.D
TICK1089,Williams Inc,Pub,TAS,Payments,Low,2025-02-21,2025-02-25,3.0,64.5,3.0,Emily.T
TICK1090,Wolf Inc,Bar,WA,POS Connection,Medium,2024-05-05,2024-05-10,10.0,14.9,4.0,Tom.R
TICK1091,Rivera-Hampton,Bar,NT,POS Connection,Medium,2025-03-02,2025-03-09,5.5,60.7,4.0,Tom.R
TICK1092,King PLC,Pub,QLD,Menu Upload,Medium,2024-08-07,2024-08-12,6.3,44.2,,Sarah.L
TICK1093,"Martin, Espinoza and Young",Restaurant,NT,Payments,High,2024-12-17,2024-12-18,6.5,42.5,5.0,John.S
TICK1094,Cooper-Murphy,Cafe,TAS,Integrations,Medium,2024-03-16,2024-03-22,8.1,54.6,2.0,Mike.D
TICK1095,Abbott Ltd,Cafe,VIC,Technical Issue,Medium,2024-04-01,2024-04-08,8.3,53.3,1.0,Tom.R
TICK1096,"Phillips, Frazier and Jensen",Restaurant,TAS,Integrations,Low,2024-09-14,2024-09-20,1.3,40.6,2.0,John.S
TICK1097,"Simpson, Hernandez and Knox",Restaurant,QLD,Integrations,Low,2025-01-05,2025-01-09,7.3,37.4,2.0,Emily.T
TICK1098,Abbott Group,Bar,WA,Technical Issue,Medium,2024-04-20,2024-04-23,7.2,42.5,4.0,Mike.D
TICK1099,Nichols-Jones  ,Cafe,NSW,Integrations,,2024-06-27,2024-06-29,3.7,31.4,1.0,John.S
TICK1100,Figueroa LLC,Restaurant,VIC,Technical Issue,Low,2024-07-09,2024-07-13,5.4,23.3,,Emily.T
TICK1101,Taylor and Sons,Pub,SA,Menu Upload,High,2024-06-23,2024-06-29,6.1,18.4,,Emily.T
TICK1102,"Allen, Duffy and Perkins",Cafe,SA,POS Connection,High,2024-08-13,2024-08-19,4.1,70.6,3.0,Mike.D
TICK1103,Mckay-Zavala,Bar,VIC,Payments,High,2024-05-17,2024-05-24,12.0,60.9,3.0,Tom.R
TICK1104,"Hensley, Morrison and Myers  ",Pub,NSW,POS Connection,Medium,2024-06-29,2024-07-04,7.5,21.3,1.0,Emily.T
TICK1105,Murray PLC,Bar,TAS,Technical Issue,High,2024-05-28,2024-05-29,10.1,53.0,3.0,John.S
TICK1106,"Rocha, Pope and Juarez",Cafe,QLD,Menu Upload,Medium,2024-06-06,2024-06-08,7.9,69.5,1.0,Tom.R
TICK1107,Martin Inc  ,Cafe,QLD,Technical Issue,Medium,2024-07-10,2024-07-12,10.2,27.7,,Mike.D
TICK1108,Powell-Ware,Pub,SA,Integrations,Low,2024-10-06,2024-10-12,5.3,14.8,4.0,John.S
TICK1109,Bishop PLC,Restaurant,VIC,Technical Issue,Medium,2024-07-26,2024-07-29,9.6,40.3,1.0,Emily.T
tick1110,Alexander-Martinez,Bar,WA,Integrations,High,2024-06-09,2024-06-12,8.2,11.3,5.0,Mike.D
TICK1111,"Andrews, Campbell and Hayden",Cafe,VIC,POS Connection,High,2024-07-14,2024-07-21,9.4,56.5,3.0,Sarah.L
TICK1112,"Miles, Moore and Taylor",Cafe,SA,POS Connection,Low,2024-05-10,2024-05-12,8.1,65.9,,Sarah.L
TICK1113,Gibbs LLC,Bar,NSW,Payments,Medium,2024-03-11,2024-03-15,1.5,47.9,4.0,Sarah.L
TICK1114,Austin LLC,Bar,TAS,Payments,High,2024-11-19,2024-11-24,5.6,13.0,2.0,Sarah.L
TICK1115,Sloan Ltd,Pub,SA,Menu Upload,High,2024-09-21,2024-09-27,1.5,40.0,5.0,Sarah.L
TICK1116,"Alexander, Leach and Garcia",Bar,SA,Payments,Low,2024-12-01,2024-12-03,2.9,54.0,4.0,John.S
TICK1117,"Landry, Walls and Phillips",Bar,NSW,Integrations,High,2025-01-03,2025-01-08,5.6,19.2,5.0,Sarah.L
TICK1118,Morgan-Carney,Bar,TAS,Payments,High,2025-02-25,2025-03-02,9.8,30.9,2.0,Tom.R
TICK1119,"Weiss, Sanchez and Robertson",Cafe,NT,Payments,Low,2025-02-18,2025-02-25,5.9,70.8,,Emily.T
TICK1120,Liu Group,Pub,NSW,POS Connection,Medium,2024-04-20,2024-04-23,8.5,52.9,3.0,Sarah.L
TICK1121,Peters Inc,Cafe,VIC,Menu Upload,,2024-10-18,2024-10-24,6.9,59.6,3.0,Emily.T
TICK1122,"Webb, Morgan and Smith  ",Pub,NT,Technical Issue,Low,2024-08-16,2024-08-18,10.8,27.2,5.0,Sarah.L
TICK1123,Lee and Sons  ,Cafe,ACT,Payments,Low,2025-01-17,2025-01-19,5.2,36.2,5.0,Mike.D
TICK1124,"Weiss, Mccormick and Webster",Restaurant,SA,Technical Issue,Medium,2024-12-07,2024-12-13,4.9,66.8,3.0,Tom.R
TICK1125,Davila-Cole,Cafe,WA,POS Connection,High,2024-11-14,2024-11-20,10.1,42.6,5.0,Tom.R
TICK1126,"Parks, Garcia and Williamson  ",Restaurant,SA,Integrations,High,2025-01-30,2025-02-01,4.8,70.8,5.0,Mike.D
TICK1127,"Becker, Adams and Romero",Cafe,NSW,Payments,Low,2024-11-17,2024-11-23,11.5,43.9,4.0,Mike.D
TICK1128,Fields-Foster,Pub,NT,Technical Issue,Medium,2024-05-06,2024-05-09,9.1,63.8,4.0,Mike.D
TICK1129,Harrison-Lopez,Pub,VIC,Menu Upload,Low,2024-03-30,2024-04-02,4.4,55.5,1.0,Emily.T
TICK1130,Lane Group,Cafe,VIC,Integrations,High,2024-09-15,2024-09-18,1.8,36.4,2.0,John.S
TICK1131,Lang LLC,Restaurant,SA,Menu Upload,High,2025-01-12,2025-01-14,3.7,40.3,5.0,John.S
TICK1132,"Wilson, Perez and Foster",Cafe,WA,Integrations,High,2024-08-12,2024-08-14,10.9,17.0,2.0,Emily.T
TICK1133,Lee-Holmes,Pub,VIC,POS Connection,High,2024-06-12,2024-06-14,7.6,66.6,,John.S
tick1134,Anderson Group,Pub,QLD,Menu Upload,High,2024-05-11,2024-05-16,2.2,24.7,4.0,John.S
TICK1135,"Hampton, Burns and Murphy",Cafe,SA,Payments,Medium,2024-11-14,2024-11-17,9.6,48.6,3.0,Sarah.L
TICK1136,Castillo Group,Pub,VIC,Technical Issue,Low,2025-01-07,2025-01-14,6.8,24.7,5.0,Tom.R
TICK1137,"Bush, Williams and Gomez",Bar,NSW,POS Connection,,2024-12-16,2024-12-17,6.7,53.6,5.0,Tom.R
TICK1138,"Lewis, Glenn and Gonzalez",Cafe,TAS,Menu Upload,High,2024-10-08,2024-10-09,11.9,58.0,1.0,Tom.R
TICK1139,Webster-Johnson,Pub,VIC,Integrations,High,2024-10-08,2024-10-14,2.2,26.4,,Emily.T
TICK1140,"Watson, House and Scott",Pub,QLD,POS Connection,High,2024-09-26,2024-09-27,10.9,30.7,1.0,Sarah.L
TICK1141,Herrera Inc,Bar,ACT,POS Connection,Low,2024-10-01,2024-10-07,6.7,70.6,,John.S
TICK1142,"Marsh, Johnson and Shea",Cafe,QLD,POS Connection,Medium,2024-03-15,2024-03-22,9.5,16.8,4.0,Emily.T
TICK1143,Whitney-Mccormick,Pub,TAS,Integrations,Medium,2024-10-23,2024-10-25,11.0,52.3,3.0,Emily.T
TICK1144,Davis-King,Bar,TAS,POS Connection,Medium,2024-09-04,2024-09-08,1.3,22.3,1.0,John.S
TICK1145,Frederick Group,Cafe,WA,POS Connection,High,2024-04-11,2024-04-18,3.5,55.3,2.0,Sarah.L
TICK1146,Johnston-Thompson,Pub,NSW,POS Connection,Medium,2024-05-11,2024-05-18,6.4,31.0,4.0,John.S
TICK1147,Adams-Chan,Cafe,VIC,POS Connection,Medium,2024-05-14,2024-05-17,4.7,44.0,2.0,John.S
TICK1148,"Thomas, Dunlap and Foster",Restaurant,NSW,Integrations,Low,2024-10-21,2024-10-24,9.4,23.3,2.0,Emily.T
TICK1149,Rosario-Barber,Cafe,TAS,Payments,Medium,2025-03-01,2025-03-08,5.0,42.1,,Sarah.L
TICK1150,Bates LLC,Bar,NT,POS Connection,Low,2024-06-03,2024-06-09,7.1,19.9,2.0,Sarah.L
TICK1151,Wilson-Woods,Cafe,ACT,Integrations,Medium,2024-10-11,2024-10-15,1.3,15.5,,John.S
TICK1152,Richardson Ltd,Bar,ACT,Integrations,Low,2024-03-09,2024-03-10,10.4,17.4,2.0,John.S
TICK1153,Miller-Green,Bar,VIC,Payments,Low,2024-05-02,2024-05-06,7.9,25.7,2.0,Tom.R
TICK1154,Webster-Sanchez,Bar,ACT,POS Connection,Low,2024-03-09,2024-03-13,11.6,45.2,2.0,Emily.T
TICK1155,Joseph Group,Restaurant,QLD,POS Connection,Medium,2025-02-28,2025-03-03,1.5,11.7,3.0,Sarah.L
TICK1156,Ray PLC,Restaurant,WA,POS Connection,Low,2024-10-12,2024-10-15,5.7,39.1,4.0,Tom.R
TICK1157,Smith PLC,Cafe,VIC,Technical Issue,High,2024-06-18,2024-06-19,7.4,34.8,1.0,John.S
TICK1158,Holmes-Zuniga,Cafe,WA,Menu Upload,Medium,2024-04-01,2024-04-05,2.0,45.2,1.0,Emily.T
TICK1159,Chavez PLC,Restaurant,SA,Menu Upload,Medium,2024-10-10,2024-10-17,12.0,47.5,3.0,Emily.T
TICK1160,"Martinez, Hughes and Harris",Restaurant,NT,Technical Issue,High,2024-03-16,2024-03-21,4.0,71.2,2.0,Sarah.L
TICK1161,Wise-Campbell,Restaurant,ACT,Payments,High,2024-06-06,2024-06-10,3.5,51.8,2.0,Sarah.L
TICK1162,Mahoney LLC,Restaurant,TAS,Menu Upload,Medium,2024-03-04,2024-03-06,5.4,65.2,,Emily.T
TICK1163,"Pierce, Evans and Sullivan  ",Cafe,NT,Payments,Medium,2024-09-28,2024-10-01,3.6,14.3,,John.S
TICK1164,Fernandez-Wilson,Cafe,NSW,Menu Upload,Low,2024-04-25,2024-04-29,10.0,13.4,5.0,John.S
TICK1165,Lewis Ltd,Restaurant,NT,Menu Upload,High,2025-01-18,2025-01-19,2.7,27.4,2.0,Emily.T
TICK1166,Prince LLC,Cafe,ACT,POS Connection,High,2024-04-20,2024-04-23,8.9,25.1,1.0,Tom.R
TICK1167,"Frost, Martinez and Jones",Pub,SA,Menu Upload,Medium,2024-07-11,2024-07-18,5.6,13.1,4.0,Mike.D
TICK1168,Rodriguez-Flynn,Pub,NSW,Payments,Medium,2024-06-27,2024-07-02,6.2,67.2,5.0,Sarah.L
TICK1169,"Fernandez, Smith and Ellis",Cafe,ACT,POS Connection,Low,2024-08-08,2024-08-12,7.7,50.0,,Emily.T
TICK1170,Scott Inc  ,Pub,ACT,POS Connection,Medium,2024-06-10,2024-06-13,5.1,46.3,2.0,Tom.R
TICK1171,"Church, Gallegos and Young",Cafe,WA,Integrations,Medium,2024-04-03,2024-04-04,10.9,39.1,4.0,Mike.D
TICK1172,Ramsey PLC,Bar,SA,POS Connection,Medium,2024-10-12,2024-10-14,10.9,65.3,3.0,Tom.R
TICK1173,Walker Ltd,Restaurant,ACT,Integrations,,2024-09-17,2024-09-24,8.3,49.5,,Mike.D
TICK1174,Stanley Group,Bar,NT,Payments,Medium,2024-05-25,2024-05-27,5.3,47.5,,Mike.D
TICK1175,"Welch, Dean and Hobbs",Pub,NT,Integrations,Low,2024-11-24,2024-11-28,4.4,42.2,,Mike.D
TICK1176,Thompson-Rodriguez,Restaurant,ACT,POS Connection,High,2024-10-12,2024-10-16,3.7,15.8,1.0,Mike.D
TICK1177,"Adams, Reed and Coleman",Bar,TAS,Integrations,High,2024-09-17,2024-09-18,6.1,69.9,5.0,Mike.D
TICK1178,"Zavala, Murray and Young",Cafe,WA,POS Connection,High,2024-10-27,2024-11-03,6.8,19.3,3.0,Mike.D
TICK1179,Lawrence Group,Bar,WA,Technical Issue,Medium,2024-07-04,2024-07-10,10.0,26.4,,Emily.T
TICK1180,Fisher-Hall,Cafe,ACT,Technical Issue,Medium,2024-03-12,2024-03-14,6.7,30.3,4.0,Emily.T
TICK1181,Lewis and Sons,Bar,TAS,POS Connection,Medium,2024-06-19,2024-06-26,8.6,39.7,3.0,Tom.R
TICK1182,Scott Group  ,Cafe,ACT,Payments,High,2024-12-14,2024-12-19,1.6,68.3,1.0,Sarah.L
TICK1183,Pineda Group,Pub,TAS,POS Connection,Medium,2024-08-30,2024-09-05,4.1,56.3,5.0,Mike.D
TICK1184,"Richardson, Lopez and Carroll",Bar,NSW,Integrations,High,2024-10-16,2024-10-21,8.7,46.8,2.0,Sarah.L
TICK1185,Preston and Sons,Pub,ACT,Technical Issue,Medium,2024-12-27,2025-01-02,9.2,34.7,1.0,Emily.T
TICK1186,Cervantes Inc,Pub,SA,Payments,Low,2024-12-16,2024-12-17,6.2,18.2,3.0,Emily.T
TICK1187,Cortez-Dominguez,Bar,NSW,Payments,Medium,2025-02-18,2025-02-23,11.2,30.6,2.0,Tom.R
TICK1188,Floyd-Wallace,Pub,WA,Technical Issue,High,2024-04-11,2024-04-17,4.8,53.8,,Mike.D
TICK1189,"Lewis, Davis and Patrick",Bar,NT,Payments,Medium,2024-10-23,2024-10-30,1.7,15.5,,John.S
TICK1190,Morse-Watson,Restaurant,SA,Technical Issue,Low,2025-02-03,2025-02-10,1.2,43.1,2.0,Mike.D
TICK1191,Jenkins LLC,Cafe,WA,Menu Upload,High,2024-09-11,2024-09-17,2.3,42.2,4.0,Mike.D
TICK1192,Flores-Hernandez,Cafe,QLD,Menu Upload,Medium,2024-04-14,2024-04-16,2.7,66.6,,John.S
TICK1193,"Hall, Hardy and Salas",Bar,WA,POS Connection,Low,2024-10-01,2024-10-07,10.3,63.8,3.0,Sarah.L
TICK1194,Baird-Young,Restaurant,WA,Menu Upload,Medium,2024-10-20,2024-10-21,6.8,43.4,,Tom.R
TICK1195,"Mcclain, Gutierrez and Oconnor",Restaurant,NSW,Integrations,Low,2024-04-07,2024-04-12,12.0,60.3,5.0,Sarah.L
TICK1196,Kim and Sons,Pub,NSW,Menu Upload,Low,2024-09-29,2024-10-06,5.3,20.3,,John.S
TICK1197,"Griffin, Perez and Summers",Bar,VIC,Menu Upload,Medium,2024-11-17,2024-11-19,1.1,10.8,3.0,Tom.R
TICK1198,"Mendoza, Cunningham and Howe",Restaurant,VIC,POS Connection,Medium,2025-02-02,2025-02-03,6.9,20.0,4.0,John.S
TICK1199,Mccormick Inc,Cafe,SA,Integrations,Low,2024-08-23,2024-08-28,5.7,60.7,4.0,Mike.D
TICK1200,Munoz Ltd,Pub,QLD,Technical Issue,Medium,2024-05-30,2024-06-04,4.2,17.4,5.0,Tom.R
TICK1201,Walker and Sons,Restaurant,NT,Payments,Medium,2025-02-27,2025-03-06,4.9,11.3,4.0,Tom.R
TICK1202,"Fox, Simpson and Rivera",Pub,ACT,Payments,Low,2024-07-01,2024-07-06,7.5,64.7,5.0,John.S
TICK1203,Huff-Fritz,Bar,ACT,Menu Upload,Low,2024-10-13,2024-10-19,1.3,26.1,1.0,John.S
TICK1204,Willis Group,Pub,QLD,Payments,Medium,2024-06-02,2024-06-06,4.3,19.8,3.0,Sarah.L
TICK1205,"Mcdonald, Wilson and Price",Pub,VIC,Payments,Medium,2024-07-20,2024-07-23,9.8,32.6,2.0,Mike.D
TICK1206,Stafford LLC,Restaurant,QLD,Menu Upload,High,2024-09-19,2024-09-21,3.7,32.5,5.0,Tom.R
TICK1207,Marshall-Horton,Bar,VIC,POS Connection,High,2025-01-11,2025-01-17,1.1,19.6,4.0,Sarah.L
TICK1208,Young LLC,Restaurant,ACT,POS Connection,High,2024-06-08,2024-06-15,10.2,57.4,3.0,Tom.R
TICK1209,Baker-Grant,Cafe,TAS,Menu Upload,Medium,2024-05-09,2024-05-15,5.4,36.5,2.0,Emily.T
TICK1210,Hill and Sons,Bar,QLD,Menu Upload,,2024-09-29,2024-10-04,3.2,19.2,1.0,Emily.T
TICK1211,Mitchell LLC,Pub,SA,Integrations,Low,2024-06-18,2024-06-25,6.3,46.9,1.0,John.S
